iter	Logloss
0	0.5188280527
1	0.3839503553
2	0.2864260235
3	0.2155818838
4	0.1605664564
5	0.1229607954
6	0.09452132942
7	0.07366596439
8	0.05783702183
9	0.04699855513
10	0.0391798376
11	0.03279086739
12	0.02647963508
13	0.02196508948
14	0.01859354343
15	0.01619268774
16	0.01349845983
17	0.0115983838
18	0.01002640622
19	0.008430470124
20	0.007573048862
21	0.0066542025
22	0.00598070765
23	0.005160764216
24	0.004461142941
25	0.0039376758
26	0.003566733949
27	0.003177802427
28	0.002888521841
29	0.002733918522
30	0.002482783944
31	0.002285394374
32	0.002127924924
33	0.001987195948
34	0.001839897167
35	0.001742558807
36	0.001699322368
37	0.00166030195
38	0.001578721509
39	0.001547850547
40	0.001492615724
41	0.001439952854
42	0.001416895465
43	0.001377327273
44	0.001355445718
45	0.001315956478
46	0.001273062915
47	0.001264141516
48	0.001247482457
49	0.001239250314
50	0.001212684719
51	0.001204881894
52	0.001197986014
53	0.001190370307
54	0.001166203058
55	0.001152064183
56	0.001133845239
57	0.001114370616
58	0.001096874045
59	0.001096871598
60	0.001096865971
61	0.001096849451
62	0.001096847771
63	0.001096844674
64	0.001096843096
65	0.001088380938
66	0.001088375119
67	0.001088374377
68	0.001088368447
69	0.001088361136
70	0.001078227557
71	0.001058570061
72	0.001058571018
73	0.001058569598
74	0.001058569598
75	0.001058569598
76	0.001051801979
77	0.001046377808
78	0.001035186846
79	0.001023325058
80	0.001023324332
81	0.001023318533
82	0.0009935347433
83	0.000993534194
84	0.0009837416859
85	0.0009837371777
86	0.0009837371777
87	0.0009690503957
88	0.0009605396429
89	0.0009535925932
90	0.0009535893697
91	0.0009535889505
92	0.0009420167597
93	0.000929576321
94	0.0009295703574
95	0.0009173474489
96	0.0009173474489
97	0.0009173417995
98	0.0009173423054
99	0.0009173377231
100	0.0009173360717
101	0.0009173332728
102	0.0009079631696
103	0.0009079517193
104	0.0009079517193
105	0.000897251461
106	0.0008972515405
107	0.000897252762
108	0.0008972497264
109	0.0008972473087
110	0.0008891515985
111	0.0008776038737
112	0.000871702122
113	0.000871702122
114	0.0008716926032
115	0.0008615277684
116	0.000861527501
117	0.0008615219339
118	0.0008615219339
119	0.0008524352812
120	0.000845959195
121	0.0008256889289
122	0.0008256841687
123	0.0008256841687
124	0.0008256837892
125	0.0008256837892
126	0.0008256827665
127	0.0008256757422
128	0.0008196889286
129	0.0008196868633
130	0.0008196786905
131	0.0008196758067
132	0.0008196746033
133	0.0008196746033
134	0.0008196746033
135	0.0008123081304
136	0.0008123056252
137	0.0008123056252
138	0.0008123035879
139	0.0008123035879
140	0.0008123024341
141	0.0008122977046
142	0.0008122977046
143	0.0008046256924
144	0.0008046242731
145	0.0008046204822
146	0.0008046220037
147	0.0008046175794
148	0.0008046175794
149	0.0007965727299
150	0.0007965727299
151	0.0007965723161
152	0.0007965723161
153	0.0007965723161
154	0.0007965659476
155	0.0007965659476
156	0.0007831902274
157	0.0007831830936
158	0.0007752919978
159	0.0007678132105
160	0.0007678132105
161	0.000765013303
162	0.000755039091
163	0.0007550355846
164	0.0007550342286
165	0.0007550302263
166	0.0007550302263
167	0.0007550280996
168	0.0007485540808
169	0.0007485540808
170	0.0007485540808
171	0.0007465219466
172	0.0007465219466
173	0.0007465165511
174	0.0007465168963
175	0.0007465168963
176	0.0007465177816
177	0.0007398908544
178	0.0007398833702
179	0.0007398833702
180	0.0007398739579
181	0.0007398740456
182	0.0007313157697
183	0.0007313063322
184	0.0007313060684
185	0.0007313029009
186	0.0007313029009
187	0.0007313029009
188	0.0007312992437
189	0.0007312992437
190	0.0007225688094
191	0.0007225576959
192	0.0007225608643
193	0.0007225551987
194	0.0007204896147
195	0.0007204912807
196	0.0007204882244
197	0.0007204883734
198	0.0007204831767
199	0.0007204831767
